³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,°Å·¡´ë±Ý,µî¶ô·ü,BPS,PER,PBR,EPS,DIV,DPS,buy_±â°üÇÕ°è,buy_±âÅ¸¹ýÀÎ,buy_°³ÀÎ,buy_¿Ü±¹ÀÎÇÕ°è,sell_±â°üÇÕ°è,sell_±âÅ¸¹ýÀÎ,sell_°³ÀÎ,sell_¿Ü±¹ÀÎÇÕ°è,sell_ÀüÃ¼,foreign_»óÀåÁÖ½Ä¼ö,foreign_º¸À¯¼ö·®,foreign_ÁöºÐÀ²,foreign_ÇÑµµ¼ö·®,foreign_ÇÑµµ¼ÒÁø·ü,short_°Å·¡·®,short_¸Å¼ö,short_ºñÁß,¾÷Á¾,Á¾¸ñ,MA5,MA10,MA20,SMA,WMA,MOM,STCK,STCD,SIG,LWR,ADO,RSI,CCI
2018-04-27,53380,53640,52440,53000,606216,1610000000000.0,1.65,1156530,16.78,2.29,157967,1.08,28500,-197000000000.0,22406192000.0,293000000000.0,-118000000000.0,408000000000.0,7056879000.0,533000000000.0,663000000000.0,1610000000000.0,128386494,66883763,52.1,128386494,52.1,8959,606216,1.48,IT,»ï¼ºÀüÀÚ,51580.0,51398.0,50022.0,51398.0,51648.72727272727,3200.0,75.11027361621588,67.63001885335603,49220.0,-11.428571428571429,304583.5922103296,65.96883020465259,154.63917525773195
2018-05-04,53000,53900,51800,51900,39565391,2080000000000.0,-2.08,28126,8.65,1.85,5997,1.64,850,-592000000000.0,-11149318700.0,655000000000.0,-52721756700.0,719000000000.0,18715358400.0,841000000000.0,499000000000.0,2080000000000.0,6419324700,3389738000,52.8,6419324700,52.8,1964027,39565391,4.96,IT,»ï¼ºÀüÀÚ,51580.0,51554.0,50190.0,51554.0,51740.0,1560.0,77.94384364394294,72.36009922154064,49308.4,-37.735849056603776,-11109817.170266299,59.70391127509556,114.86086441681493
2018-05-08,52600,53200,51900,52600,23104720,1220000000000.0,1.35,28126,8.77,1.87,5997,1.62,850,-55407203100.0,3123733900.0,-50801179600.0,103000000000.0,208000000000.0,4141076500.0,448000000000.0,558000000000.0,1220000000000.0,6419324700,3388514370,52.78,6419324700,52.78,899575,23104720,3.89,IT,»ï¼ºÀüÀÚ,52008.0,51816.0,50414.0,51816.0,51930.181818181816,2620.0,74.9797217240651,76.01127966140797,49492.064,-25.89641434262948,-14203861.23594057,62.16624097799117,103.81607015880542
2018-05-09,52600,52800,50900,50900,16128305,831000000000.0,-3.23,28126,8.49,1.81,5997,1.67,850,-61438287200.0,742475500.0,170000000000.0,-109000000000.0,262000000000.0,1655582300.0,273000000000.0,295000000000.0,831000000000.0,6419324700,3389966037,52.8,6419324700,52.8,1859132,16128305,11.53,IT,»ï¼ºÀüÀÚ,52108.0,51770.0,50613.0,51770.0,51763.63636363636,-460.0,57.421724166067555,70.11509651135853,49668.38144,-64.1025641025641,-19310079.83226727,53.600112635534934,48.12653302884257
2018-05-10,51700,51700,50600,51600,13905263,712000000000.0,1.38,28126,8.6,1.83,5997,1.65,850,11920187400.0,-2219132300.0,22928345800.0,-32629400900.0,246000000000.0,6215352100.0,229000000000.0,231000000000.0,712000000000.0,6419324700,3388367976,52.78,6419324700,52.78,607301,13905263,4.37,IT,»ï¼ºÀüÀÚ,52000.0,51652.0,50756.0,51652.0,51732.72727272727,-1180.0,53.61857413650244,62.006673342211705,49837.6461824,-49.14529914529915,-16023560.47576505,56.272030379115535,31.11821490170594
2018-05-11,52000,52200,51200,51300,10314997,534000000000.0,-0.58,28126,8.55,1.82,5997,1.66,850,-25470106200.0,-775180400.0,-2591043600.0,28836330200.0,169000000000.0,1755102500.0,190000000000.0,173000000000.0,534000000000.0,6419324700,3387354337,52.78,6419324700,52.78,2640549,10314997,25.6,IT,»ï¼ºÀüÀÚ,51660.0,51620.0,50901.0,51620.0,51668.72727272727,-320.0,43.73219373219374,51.590830678254584,50000.140335104,-55.55555555555556,-15848023.56849005,54.81518016652054,39.896234010197695
2018-05-14,51000,51100,49900,50100,14909272,750000000000.0,-2.34,28126,8.35,1.78,5997,1.7,850,-49566450100.0,-1320924550.0,156000000000.0,-105000000000.0,181000000000.0,6049077450.0,271000000000.0,292000000000.0,750000000000.0,6419324700,3387567715,52.78,6419324700,52.78,2159352,14909272,14.48,IT,»ï¼ºÀüÀÚ,51300.0,51440.0,50946.0,51440.0,51392.36363636364,-1800.0,38.03418803418805,45.12831863429475,53900.0,-81.1965811965812,-17498056.44868149,49.31535191528978,-38.59716612169007
2018-05-15,50200,50400,49100,49200,18709146,926000000000.0,-1.8,28126,8.2,1.75,5997,1.73,850,-91879426900.0,3204514300.0,150000000000.0,-61038613900.0,205000000000.0,2667749950.0,246000000000.0,472000000000.0,926000000000.0,6419324700,3385266256,52.75,6419324700,52.75,4818595,18709146,25.76,IT,»ï¼ºÀüÀÚ,50620.0,51314.0,50962.0,51314.0,50985.09090909091,-1260.0,21.77706552706554,34.51448243114912,53820.0,-97.91666666666667,-21619415.26447407,45.61847499938158,-97.00306631750914
2018-05-16,49200,50200,49150,49850,15918683,792000000000.0,1.32,28126,8.31,1.77,5997,1.71,850,66386686250.0,-76011849800.0,-67749281000.0,77374444550.0,131000000000.0,78073044750.0,319000000000.0,264000000000.0,792000000000.0,6419324700,3384136530,52.72,6419324700,52.72,2331346,15918683,14.65,IT,»ï¼ºÀüÀÚ,50410.0,51259.0,51011.5,51259.0,50718.90909090909,-550.0,12.170584045584057,23.99394586894589,53631.2,-84.375,-19651679.134770364,48.61452306938069,-90.96174787423817
2018-05-17,50300,50500,49400,49400,10365440,516000000000.0,-0.9,28126,8.24,1.76,5997,1.72,850,37187089350.0,1256862050.0,77856174950.0,-116000000000.0,101000000000.0,729702500.0,142000000000.0,272000000000.0,516000000000.0,6419324700,3385554977,52.75,6419324700,52.75,512949,10365440,4.95,IT,»ï¼ºÀüÀÚ,49970.0,50985.0,51031.5,50985.0,50380.90909090909,-2740.0,7.986111111111122,13.977920227920249,53449.952,-93.75,-20358274.433094278,46.696450198378244,-94.51568237914654
